title,text,latitude,longitude,city_text,date_posted,date_updated,price,deleted,sqft,bedrooms,bathrooms,pets,laundry,parking,craigslist,place,city,state,county
"$5241 / 2br - 1095ft2 - Large Two Bedroom In Great Location, Walk To The Embarcadero. (333 Fremont Street, San Francisco CA.)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
TWO BEDROOM TWO BATH WITH LOTS OF SUNLIGHT AND BALCONY - ""KING"" #709 -FLOOR PLAN- IN A BOUTIQUE BUILDING,- PET FRIENDLY- FREE BIKE STORAGE, WEB PASS READY. 
Welcome to modern urban living at 333 Fremont! Located in the heart of San Francisco's Rincon Hill / South Beach neighborhood, one could simply ""walk to work"" from their home at 333 Fremont. The central location offers convenience to downtown offices, banks, transportation, restaurants, cafes, shopping, night-life, museums and the world-famous San Francisco Bay waterfront.
The eighty-three unit, newly developed, residential building provides the perfect balance of comfort with modern style, with a boutique residential feel. Each residence of either a one bedroom or two bedroom offers high-end finishes, hardwood floor, top-of-the line stainless appliances and in-unit laundry facilities.
RESIDENCES:
Engineered hardwood flooring. Thick underlayment under the wood floors to eliminate sound from the unit above.
Over-sized sound-deadening double pane windows to isolate the outside noise.
Fully adjustable window shades.
Tall ceilings.
High-end contemporary finishes.
Large closets with abundant closet space.
Stainless steel appliances.
Full-size dishwasher with top controls hidden for the more modern luxury feel.
5 burner gas range stove.
Modern white-gloss cabinetry with brushed metal hardware with soft-close hinges and hardware
Chic pendant lighting over bar.
Hand selected Imported Italian granite counter-tops.
Grohe chrome kitchen faucets with large under mount sinks.
Glass tile backsplash.
Over-sized soaking tubs and spacious walk-in glass showers with environmentally sound low-flow fixtures.
Large bathroom vanities with spacious built-in drawers.
Electric heaters.
Coat closets for additional storage.
A variety of units include large balconies/patios with spectacular Downtown and Bay views.
AMENITIES and SERVICES:
Cable & Wifi - Webpass, Comcast, XFinity.
Secured Key - Card building access
Controlled entry system controlled by mobile handset
Private Security
Secured below-grade attached garage
Secured motorcycle parking in garage
Additional secured storage units
Bicycle storage
Environmentally conscious dog run facility
Residential discounts available for local gym memberships
Webpass and cable high speed internet ready
Doorstep package delivery
Dry cleaning services
Exclusive resident events
PARKING: Available for just $299/month
HOURS:
Monday-Friday, 8AM-5PM, By Appointment Only
Saturday, 8AM-5PM, By Appointment Only
Johnny Diaz
Resident Relations Manager",37.787836,-122.393396,"333 Fremont Street, San Francisco CA.",2018-10-06 16:25:41,2018-10-12 17:54:03,5241.0,False,1095.0,2.0,2.0,both,in-unit,garage,sacramento,San Francisco,San Francisco,CA,San Francisco
"$7950 / 3br - 2030ft2 - 3 beds 3 baths Spacious Fully Furnished Home with Hot Tub (Potrero Hill)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
This 3 bedroom, 2.5 bathroom home is fully furnished and features recent renovations including solar panels, radiant floor heating, and a gorgeous chef's kitchen. This comfortable Craftsman home has gorgeous city views, a shared backyard, and a hot tub off the master suite. Lovely period details remain such as stained glass windows, built-in cabinetry, and fireplaces.The open living and dining room is on the first level, which also features the third bedroom (great for use as an office or den), a half bathroom, and a deck with a barbecue, perfect for entertaining. On the top level, there are the master suite and two other rooms: one bedroom with a large north-facing window and gorgeous city view, and another enclosed room that could be a nursery, an office, or a den. There are two full bathrooms on the top level, one of them in the master suite.
The top-floor master suite has beautiful city views from south-facing windows; a fireplace; a walk-in closet; an en-suite bathroom with skylights; and a deck with a hot tub. The landscaped backyard is shared with only one other unit. Once-a-month housekeeping and gardener services are included in the rent, as are partial utilities.A washer and dryer are in the attached 1-car garage.
- Fully furnished
- 3 bedrooms plus office, 2.5 bathrooms
- 2,030 sq. ft. per public records
- Craftsman home
- Living room with mounted 55-inch TV and surround sound
- Kitchen features spacious island; Viking oven and 6-burner stove; Sub-Zero refrigerator; electric warming drawer
- Dining room with round dining table seats up to 6
- Master suite features deck with hot tub
- Original hardwood flooring
- Radiant floor heating
- Landscaped shared yard
-Attached 1-car garage with washer and dryer
- 2-unit building
- Great location in Potrero Hill near UCSF Mission Bay, Kaiser, 18th Street corridor with plenty of restaurants and coffee shops",37.7621,-122.3971,Potrero Hill,2018-10-12 09:19:33,2018-10-15 08:18:26,7950.0,False,2030.0,3.0,3.0,none,,garage,sfbay_eby,San Francisco,San Francisco,CA,San Francisco
"$1495 / 300ft2 - Happy and Restful Studio in Sunny West Oakland (oakland west)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
Happy and Restful Studio in Sunny West Oakland
Filled with art studios and restaurants, West Oakland is known for its culture and pride, being a hot spot for creativity and booming restaurant scene.
Welcome to warm and sunny studio home in West Oakland!! 
Featuring well maintained kitchen, spacious room, large bathroom, light filled windows and peaceful space to get away from it all. Tenant is responsible PGE, cable, and internet. 
APARTMENT HIGHLIGHTS:
Washer/Dryer in the building
Kitchen
Gas stove
Sizable closet
Large bathroom
Hardwood Floors
Cats and dogs ok
300 sq ft
100% Happy
LOCATION:
Lots of driving and biking options to get around and see the neighborhood.
Must eat: Brown Sugar Kitchen, Zella's Soulful Kitchen, Drip Lane, Old Kan Beer
Must do: The Crucible, Yoshi's Jazz Club and Sushi, Lake Merritt, Old Town Farmers Market 
Easy access to BART and freeway creates commuter paradise, offering warmer weather and half the rent price of uber expensive San Francisco. 
Only 1 bart station away: SF/Embarcadero to West Oakland 1 stop and West Oakland/SF you are only 1 stop away!
Downtown San Francisco - 17 min driving without traffic, 14 min BART!!! ♥ ♥
San Francisco International Airport - 30 min driving, 50 min BART/Bus away!!
Oakland Airport - 20 min driving, 30 min by BART!!
Move in and enjoy!!!
CONTACT INFORMATION: Please text Alexandra at  show contact info
.
ADDRESS: 902 Peralta st, corner of 9th Street Street, Oakland, CA 94607 
BRE #: 01367626",37.738026,-122.409031,oakland west,2018-09-28 06:39:14,2018-10-13 05:06:21,1495.0,False,300.0,0.0,1.0,both,shared,none,sfbay_eby,San Francisco,San Francisco,CA,San Francisco
"$3750 / 2br - 850ft2 - Adorable two bedroom / one bathroom apartment ~ Conveniently located ~ (rohnert pk / cotati)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
1726 Page Street #1 San Francisco, CA 94115
Rent: $3,750 | Deposit: $800
Bedrooms: 2  |  Bathrooms: 1
Sqft: 850
Available: 10/20/2018
Type: Apartment
Phone:  show contact info

Email:  show contact info

At 1726 Page Street you will find bright and spacious newly renovated two and three bedroom apartment homes in the Upper Haight area. This classic San Francisco property also features a lovely patio and garden area for tenants to enjoy. We are conveniently located within walking distance to Golden Gate Park and five minutes from University of California Medical Center. Beautifully renovated, bright two bedroom apartment with elegant tile work and plush carpet in an excellent location.
Appliances Included:
 • Refrigerator    • Gas Stove
Features:
 • Bright and Airy Floor Plans
 •Custom Paint Colors
 • Beautifully Tiled Counters and Floors
 • Plush Carpet
 • Community Patio Area
 • Easy On-Site Laundry
For more information, pictures and directions check out our website: http://ismrem.com/Apartment-Details.aspx?id=915
IS1015",37.770675,-122.449203,rohnert pk / cotati,2018-10-15 13:59:17,,3750.0,False,850.0,2.0,1.0,none,shared,none,sfbay_nby,San Francisco,San Francisco,CA,San Francisco
"$3750 / 2br - 850ft2 - Completely remodeled 2 bed, 1 bath unit ~ A must see ! (rohnert pk / cotati)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
Apartment for rent
1726 Page Street #1 San Francisco, CA 94115
Page Street Apartments
Type: Apartment
2 Bedrooms, 1 Bathroom.
$3,750 per month | $800 deposit
Available: 10/20/2018.
Sqft: 850 Sq. Ft. approx.
Contact:  show contact info

Email:  show contact info

At 1726 Page Street you will find bright and spacious newly renovated two and three bedroom apartment homes in the Upper Haight area. This classic San Francisco property also features a lovely patio and garden area for tenants to enjoy. We are conveniently located within walking distance to Golden Gate Park and five minutes from University of California Medical Center. Beautifully renovated, bright two bedroom apartment with elegant tile work and plush carpet in an excellent location.
Appliances: Refrigerator, Gas Stove
Features: Bright and Airy Floor Plans,Custom Paint Colors, Beautifully Tiled Counters and Floors, Plush Carpet, Community Patio Area, Easy On-Site Laundry
FOR INFORMATION VISIT:
http://ismrem.com/Apartment-Details.aspx?id=915
IS1011",37.770675,-122.449203,rohnert pk / cotati,2018-10-11 18:36:56,,3750.0,False,850.0,2.0,1.0,none,shared,none,sfbay_nby,San Francisco,San Francisco,CA,San Francisco
"$3750 / 2br - 850ft2 - Incredible 2 bedroom - 1 bathroom apartment * Beautifully renovated * (rohnert pk / cotati)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        

1726 Page Street #1 San Francisco, CA 94115
Rent: $3,750 | Deposit: $800
Bedrooms: 2  |  Bathrooms: 1
Sqft: 850
Available: 10/20/2018
Type: Apartment
Phone:  show contact info

Email:  show contact info

At 1726 Page Street you will find bright and spacious newly renovated two and three bedroom apartment homes in the Upper Haight area. This classic San Francisco property also features a lovely patio and garden area for tenants to enjoy. We are conveniently located within walking distance to Golden Gate Park and five minutes from University of California Medical Center. Beautifully renovated, bright two bedroom apartment with elegant tile work and plush carpet in an excellent location.
Appliances Included:
 • Refrigerator    • Gas Stove
Features:
 • Bright and Airy Floor Plans
 •Custom Paint Colors
 • Beautifully Tiled Counters and Floors
 • Plush Carpet
 • Community Patio Area
 • Easy On-Site Laundry
For more information, pictures and directions check out our website: http://ismrem.com/Apartment-Details.aspx?id=915
IS1008",37.770675,-122.449203,rohnert pk / cotati,2018-10-08 10:11:32,,3750.0,False,850.0,2.0,1.0,none,shared,none,sfbay_nby,San Francisco,San Francisco,CA,San Francisco
"$3750 / 2br - 850ft2 - A MUST SEE! Awesome unit Available for lease! View details* (rohnert pk / cotati)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
1726 Page Street #1 San Francisco, CA 94115
Type: Apartment
At 1726 Page Street you will find bright and spacious newly renovated two and three bedroom apartment homes in the Upper Haight area. This classic San Francisco property also features a lovely patio and garden area for tenants to enjoy. We are conveniently located within walking distance to Golden Gate Park and five minutes from University of California Medical Center. Beautifully renovated, bright two bedroom apartment with elegant tile work and plush carpet in an excellent location.
$3,750 per month  |  $800 deposit
Features:
Page Street Apartments
Sqft: 850 Sq. Ft. approx.
2 Bedrooms
1 Bathroom.
Bright and Airy Floor Plans
Custom Paint Colors
Beautifully Tiled Counters and Floors
Plush Carpet
Community Patio Area
Easy On-Site Laundry
Appliances:
Refrigerator
Gas Stove
VIEW MORE DETAILS:
http://ismrem.com/Apartment-Details.aspx?id=915
Available: 10/20/2018.
Contact:  show contact info

Email:  show contact info

IS1012",37.770675,-122.449203,rohnert pk / cotati,2018-10-12 15:17:32,,3750.0,False,850.0,2.0,1.0,none,shared,none,sfbay_nby,San Francisco,San Francisco,CA,San Francisco
"$3600 / 1br - 810ft2 - 1 bdrm/1 bath unit for rent in Hayes Valley (hayes valley)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
We have a 1 bedroom 1 bath apartment available for rent!
**NOTE: Pictures on this ad are not the actual unit but a similar unit in the same building.**
Key features are:
• Living areas with open plan - 810 sq. ft.
• Third floor unit with hardwood in living/dining room and carpet in bedroom
• Kitchen with wood cabinets and granite counter-top and stainless steel sink with garbage disposal. Stainless steel refrigerator, dishwasher, gas stove and microwave. Opens out to the living room/dining room with a breakfast bar
• Plenty of closet space in the bedroom
• Large double-paned windows 
• Individual water heater and heating system in each unit
• Shared, landscaped courtyard with barbeque grill
• On-site coin laundry
• Bicycle storage room
• 1 year lease 
• Water and garbage included
• Elevator onsite
• Secured underground parking available for an additional $250-300 per month 
• A 33-unit modern apartment building with onsite manager
• Centrally located in the heart of Hayes Valley
• Close proximity to 101/280 freeway entrances/exits
• Walking distance to the New Conservatory Theatre Center, SF Ballet, SF Opera & new Jazz Center, SF Symphony as well as to BART & MUNI
• One block away from fabulous Hayes Street shops, restaurants, bars, and Octavia park
Available for showing now. If interested, please email me for viewing information. Current credit report will be required when applying. Thank you!",37.776125,-122.422307,hayes valley,2018-09-18 09:39:14,2018-10-15 09:25:59,3600.0,False,810.0,1.0,1.0,none,shared,garage,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco
"$3600 / 1br - 650ft2 - 1 Bed/1 Bath Apartment in Soma (SOMA / south beach)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
Great apartment in Soma!
- 1 garage parking spot included
- High speed internet included 
- Utilities included
- Washer/dryer in unit
- ""Like new"" appliances w/ gas stove/oven
- 1/2 block away from Whole Foods
- Close to CalTrain (King St.), BART (Powell St.), and easy access to Bay Bridge
- Available 11/1",37.7798,-122.401422,SOMA / south beach,2018-10-15 07:52:23,,3600.0,False,650.0,1.0,1.0,none,in-unit,covered,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco
"$3195 / 1br - 1500ft2 - 1 Bed 1 Bath In-law unit in San Francisco | 1423 Thomas Avenue (San Francisco)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
Some highlights: 
New kitchen granite countertops and hardwood floors 
Office space 
Large living room 
Open concept 
Lots natural lighting 
Double panel closet mirror doors 
Large deck 
Great location! 
2 blocks away from the t line 
2 blocks away from the library 
Close to Walgreens and the ymca 
No pets allowed 
Tenant pays for Gas, Electric, Water 
Garbage, Gardening provided by owner 
...A perfect place to make your new home!",37.728532,-122.38797,San Francisco,2018-10-15 11:41:55,,3195.0,False,1500.0,1.0,1.0,none,none,none,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco
