title,text,latitude,longitude,city_text,date_posted,date_updated,price,deleted,sqft,bedrooms,bathrooms,pets,laundry,parking,craigslist,place,city,state,county
"$1850 / 1br - 700ft2 - 1 bdrm/1bath apartment unit (Downtown)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
1 bdrm/1bath apartment unit, 700 sqft, 2nd floor interior unit, facing courtyard, polsihed tiled floors, S/S appliances, 1 Parking included.  AVAILABLE SEPTEMBER 1. Additional parking available outside for $ 200-250/mo.
Rooftop garden lounge with spectacular views of Downtown.
Restaurants, wine bars in the area. Gourmet cafe on the ground floor, open 24 hours
Walking distance to Pershing Square/Red line station, Macy's, 7th/Metro, Blue line station, 7 blocks from Ralphs supermarket. 3 blocks from Whole Foods.
website: www.cityloftsquare.com
PREMIERE TOWERSshow contact info",34.046012,-118.25090700000001,Downtown,2018-10-10 12:41:14,2018-10-15 12:09:58,1850.0,False,700.0,1.0,1.0,both,shared,garage,losangeles,Los Angeles,Los Angeles,CA,Los Angeles
"$2049 / 1br - 617ft2 - 1 BED 1 BATH - Parking Included, Great move in specials!!
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
Medici is the premier resort apartment community gracing the dynamic new downtown Los Angeles skyline. The twelve unique floor plans assure you will find the right home to fit your lifestyle. The Medici is the best choice for upscale living in Los Angeles.
APARTMENT FEATURES
-Gorgeous Water Fountains at Every Corner
-Vertical Blinds
-Cable Ready
-Peaceful, Lushly Landscaped Courtyards
-Airy Interiors with Nine Foot Ceilings
-Rich European-Style Maple Wood Kitchen Cabinets with Melamine Interiors
-Automatic Dishwasher
-Convenient Pantry
-Carpeted Floors
-Upgraded Whirlpool Appliances, Including:
COMMUNITY AMENITIES
-Gorgeous Water Fountains at Every Corner
-Vertical Blinds
-Cable Ready
-Peaceful, Lushly Landscaped Courtyards
-Airy Interiors with Nine Foot Ceilings
-Rich European-Style Maple Wood Kitchen Cabinets with Melamine Interiors
-Automatic Dishwasher
-Convenient Pantry
-Carpeted Floors
-Upgraded Whirlpool Appliances, Including:
CONTACTshow contact info

WEBSITE
https://www.themedici.com/
ADDRESS
725 South Bixel Street, Los Angeles, CA 90017
Pricing and availability are subject to change.
 Los Angeles Housing,  University of Southern California,  University of Southern California Apartments,  Industrial District,  Fashion Institute Apartments,  Financial District,  Elysian Park,  Westlake,  Downtown Housing,  Gallery Row,  Wholesale District,  Silver Lake,  Downtown Los Angeles Apartments,  Fashion Institute,  Mid-City,  Los Angeles,  Luxury Apartments,  Downtown Los Angeles Housing,  Downtown Apartments,  Koreatown,  Student Housing,  Larchmont,  Hollywood Hills,  DT Los Angeles,  Arts District,  Luxury Housing,  Jewelry District,  Echo Park,  Downtown LA,  Chinatown,  Hancock Park,  Fashion District,  Bunker Hill,  Civic Center,  Los Angeles Apartments,  Historic Core,  Central Los Angeles Housing,  Central Los Angeles Apartments,  Carthay,  Downtown LA Apartments, Downtown,  Old Bank District,  USC,  South Park,  Little Tokyo,  DTLA,  Arlington Heights,  Downtown Los Angeles,  Toy District,  Windsor Square,  FIDM Apartments,  Hollywood,  Central LA Housing,  University of Southern California Housing,  Student Apartments,  Harvard Heights,  Central LA Apartments,  East Hollywood,  Fashion Institute Housing,  Central Los Angeles,  DTLA Housing,  Los Feliz,  Warehouse District,  Pico-Union,  DT Los Angeles Housing,  USC Housing,  FIDM,  Griffith Park,  USC Apartments,  Elysian Valley,  Hollywood Hills West,  DT Los Angeles Apartments,  DTLA Apartments,  Central LA,  FIDM Housing,  Downtown LA Housing",34.050616999999995,-118.26420300000001,,2018-10-15 09:30:45,,2049.0,False,617.0,1.0,1.0,none,in-unit,covered,losangeles,Los Angeles,Los Angeles,CA,Los Angeles
"$1650 / 1br - 400ft2 - 1 Bed - 1 Bath Prime Melrose location / Charming Building (Los Angeles)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
This cozy 1 Bedroom - 1 Bathroom unit is located in the heart of LA. One block away from Melrose Avenue. Building is quiet and street is residential. Management is fast and responsive. 
Features
- refrigerator and stove
- Real Hardwood floors
- Prime Location
- Gated Building
- Charming Appearance
- Lots of plants throughout the building
- Fast and Responsive Manager
Rent: $1650.00
Security Deposit: $1650.00
Available now.
1 Year Lease 
NO PETS
NO SMOKING
MAX ONE PERSON
For more info call Stacey at  show contact info

No Texts Please",34.086022,-118.348675,Los Angeles,2018-10-15 10:57:15,,1650.0,False,400.0,1.0,1.0,none,shared,street,losangeles,Los Angeles,Los Angeles,CA,Los Angeles
"$2565 / 1br - 670ft2 - 1 Bedroom Apartment Available (Parking Included) (3324 Castle Heights Ave)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
This is a 1 Bedroom, 1 Bath, approximately 670 Sq. Ft. 
Call Now  show contact info

Waterstone at Metro is the uttermost best place to live in the Culver City and Cheviot Hills Areas. Our cozy, modern, luxury apartments make your life comfortable and simple. The building is located just off the 10 freeway, near where the 405 meets. Our apartments are newly remodeled and feature fresh hardwood flooring throughout your living space, stainless steel appliances, high ceilings, and quiet interiors privately disengaged from the hustle and bustle of the city around us. 
We make getting around easy with our close access to Los Angeles's Metro Expo Line which will jet you off to Santa Monica Pier, SMC, USC, Famous Museums, and Downtown L.A in a matter of minutes. We are a short drive from all kinds of shopping whether it be Beverly Hills' Rodeo Drive, Melrose Ave, The Beverly Center, The Grove, Whole Foods, Trader Joes, Target, and many more. 
Living here will also have you within skipping distance of Vons Grocery Shopping Center, and a 10-15 minute walk to amazing entertainment and good food in Downtown Culver. 
You could, of course, take the Metro to Santa Monica Pier in a matter of 15 short minutes to get some good R&R, but who needs to leave when one can find soothing relaxation here at our rooftop pool and cabana lounge area, fit with spa tub and a 360 degree panoramic view of the city and the San Gabriel Mountainside.
Our friendly management and staff can't wait to welcome you (and your pet) home! Call us today to schedule a tour, and elevate your lifestyle at Waterstone at Metro! 
Features:
Garbage disposal, Dishwashers, Mirrored wardrobe doors, Private balconies (in select homes), 9 Foot Ceilings, Modern kitchens and baths, Air conditioning, Green Initiatives, Carpet flooring 
Community Amenities:
Gated garage parking, 24 hour fitness center, 3 resident courtyards, Pet friendly, Laundry facilities, Intercom access, Hydro pool and hot tub, Deck with panoramic city view 
Visit This Website to See More:
http://apts.rwselby.com/2qi16z
Equal Housing Opportunity 
Ip6buuRwwebY 
Features:
Carpet flooring, Dishwashers, Private balconies (in select homes), Air conditioning, Green Initiatives, Modern kitchens and baths, 9 Foot Ceilings, Garbage disposal, Mirrored wardrobe doors 
Community Amenities:
Deck with panoramic city view, Intercom access, Hydro pool and hot tub, Pet friendly, 3 resident courtyards, Gated garage parking, Laundry facility, 24 hour fitness center 
Pet Policy:
Pets allowed but breed and weight restrictions apply. 
Interested in more information? See link below:
http://rwselby.aptdetails.com/755794
Equal Housing Opportunity 
FzqyULljI6CF",34.030967,-118.40015600000001,Parking Included) (3324 Castle Heights Ave,2018-10-15 10:06:31,,2565.0,False,670.0,1.0,1.0,both,shared,covered,losangeles,Los Angeles,Los Angeles,CA,Los Angeles
"$2350 / 1br - 685ft2 - 1 bedroom apartment in downtown Hollywood (Hollywood)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
I'm looking for someone to take over my lease in Hollywood. It is a 685 sf 1 bedroom. Will have to apply through leasing office. 
For what they are leasing for currently: 
https://www.eastownla.com/availableunits.aspx?floorplans=2026869&floorplans=2026870&floorplans=2026871&floorplans=2026872&floorplans=2026873&floorplans=2026874&floorplans=2026875&floorplans=2026876&floorplans=2026877&floorplans=2026878&floorplans=2081068&floorplans=2081069&floorplans=2081100&floorplans=2081101&floorplans=2081103&floorplans=2081104&floorplans=2081107&bed=1
- 5th floor with view of the Hollywood hills
- Double pane windows so you can't hear street noise
- Walk in closet
- Balcony
- Washer and dryer in unit
- Tandem parking
- Secure entry
- Pool, spa, gym, clubhouse
5 months left on lease. One of the best buildings in Hollywood. The nicest amenities you will find. I'm moving to a different neighborhood for work and looking for someone to take over the remainder of my lease. $500 deposit.",34.1005,-118.3254,Hollywood,2018-10-15 10:26:07,,2350.0,False,685.0,1.0,1.0,none,in-unit,garage,losangeles,Los Angeles,Los Angeles,CA,Los Angeles
"$2802 / 1br - 674ft2 - 1 bedroom home available now! Hard surface floors! (5200 Wilshire)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
Wilshire La Breashow contact info
 | http://www.livewilshirelabrea.com/ 
  5200 Wilshire Blvd Los Angeles, California 90036 
LIVE BETTER AT WILSHIRE LA BREA - CHOOSE THE ANGELINO 
You live in this amazing town for a reason. L.A. is always humming, always pushing the boundaries of what's next. And that's Wilshire La Brea. If you're looking for true luxury apartments in Los Angeles, come to the intersection of Wilshire and La Brea. We offer a double hit of cool attitude and sexy style. Off-the-hook amenities. Gorgeous interiors. A sweet location. This is the life.
Apartment Features: 
• Full-size washer and dryer
• Hard surface flooring in living room, dining room and kitchen
• Sleek kitchens with island
• ENERGY-STAR® stainless steel appliances
• Caesarstone and quartz countertops
• Oversize windows with MechoShades
Community Features: 
• Bring the fitness club to you. Our two fitness centers feature
Technogym TRX training, a Pilates reformer, spin bikes and
a host of state-of-the-art equipment to keep yourself looking
fine.
• Lounge the way you love on our patios with kickback
fireplaces and barbecues.
• Unwind in our game room, complete with televisions, poker
tables and shuffleboard. Game on.
• Complimentary wireless and computer stations let you plug
in to the working world whenever you want. 
• Pet friendly
5200 Wilshire Blvd., Los Angeles, CA 90036 
www.livewilshirelabrea.com show contact info
 
We are located on the south east corner of Wilshire and La Brea. Future resident parking is located in our retail parking garage below with entrances on Sycamore St. and 8th St. One-hour validation will be provided for future residents
Equal Housing Opportunity 
*Pricing and availability is subject to change",34.06211,-118.34301,5200 Wilshire,2018-10-15 10:59:10,,2802.0,False,674.0,1.0,1.0,both,in-unit,garage,losangeles,Los Angeles,Los Angeles,CA,Los Angeles
"$1650 / 1br - 800ft2 - 1 Bedroom in Baldwin Hills + Quartz + SS Appliances + Must See (Baldwin Hills)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
Welcome to 3930-3954 Ursula, situated in a prime location in Los Angeles, and a part of the Collection at Baldwin.  Your apartment home comes newly renovated with stainless steel appliances, vinyl plank floors, and upgraded windows.  You will also enjoy a controlled access building with laundry facilities and covered parking. We are conveniently located close to restaurants, schools, parks, and the 10 freeway Call today to schedule a tour with our professional leasing staff. 
3930-3954 Ursula Avenue 
Los Angeles, CA 
90008 
Community Amenities:
++ Laundry On-site 
++ Parking subject to availability 
      and additional charge
Apartment Amenities:
++ Upgraded Windows 
++ Stainless Steel Refrigerator 
++ Quartz Countertops 
++ Vinyl Plank Floors Throughout Except Bedrooms 
++ Stainless Steel Gas Stove 
Thank you for viewing this Ad. We look forward to meeting you. (:
Square ft. is approximate.
Price and availability are subject to change.
Near Jim Gilliam Park, Kenneth Hahn Lower Park, Ralph's, Superior Grocers, Del Taco, McDonald's, KFC, Buffalo Wild Wings, Susan Miller Dorsey Senior High School
Nearby Cities: Leimert Park, Baldwin Village, Windsor Hills, Baldwin Vista, Crenshaw, Blair Hills, Ladera Heights",34.014912,-118.35210900000001,Baldwin Hills,2018-10-15 12:06:40,,1650.0,False,800.0,1.0,1.0,both,shared,covered,losangeles,Los Angeles,Los Angeles,CA,Los Angeles
"$1650 / 1br - 755ft2 - 1 Bedroom in Baldwin Hills | SS Appliances + Granite Counters (4050 Stevely Ave. Los Angeles 90008)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
﻿
  4050 Stevely Apartments4050 Stevely Avenue Los Angeles, CA 90008APARTMENT FEATURES
!! Granite Countertops 
!! Stainless Steel Refrigerator and Gas Stove 
!! Vinyl Plank Floors Throughout
!! Upgraded Windows 
!! Newly Upgraded Apartment 
!! Carpet Floors in Bedroom COMMUNITY AMENITIES
!! On-Site Laundry 
!! Controlled Access LEASE TERMS
Call For Lease Terms
Square footage is approximate. Price and availability may change.",34.013788,-118.35316,4050 Stevely Ave. Los Angeles 90008,2018-10-15 11:11:54,,1650.0,False,755.0,1.0,1.0,none,shared,none,losangeles,Los Angeles,Los Angeles,CA,Los Angeles
"$2350 / 1br - 740ft2 - 1 Bedroom in Downtown Los Angeles, Fitness Center, Sky Terrace (South Park - DTLA)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
Explore....Entertain......Experience......E On Grand, DTLA's exciting new residences in the heart of it all! E On Grand offers studios, one, and two bedroom apartment homes, featuring amazing modern amenities that are sure to exceed your satisfaction and expectations. E on Grand is an unsurpassed living experience with thoughtful details, including vaulted 12-foot ceilings, skyline city views, private entertainment balconies, stainless steel appliances, high-end cabinetry, and in-residence washers and dryers. Explore our community amenities and Experience E on Grand at it's finest. Entertain in our open air patio with a wet bar, sky terrace with a BBQ grill, a resident lounge with WiFi, fitness center with the latest new equipment, an over-sized spa, and much more to Explore! Be one of the first to live in the Exciting, Entertaining E on Grand and Explore your new ""E"" lifestyle today.
Building Features:
- Fitness Center
- Sky Terrace w/ BBQ Grill and Sundeck
- Private Underground Parking
- Professional On-Site Management
- Short Term Lease Available
- Starbucks On Site
- Pet Spa & Dog Run
- Resident Lounge with Wi-Fi
- Package Receiving
- Outdoor Entertainment Lounge
- Courtesy Patrol
- Oversized Spa/Hot Tub
- Bike Racks
- Parking Available- $125-$200
Apartment Features:
- Skyline City Views*
- Hardwood Style Flooring
- NEST Central A/C and Heating
- Private Balconies - 1 or 2 Per Residence
- Stainless Steel GE Appliances
- 10 ft or Greater Ceiling Height
- Key-less Apartment Entry
- Full Size Washer/Dryer
- Spacious Walk-In Closets*
Disclaimer:
Pictures may not be of exact apartment home.
* In certain apartment homes.
 Square ft. is approximate.
Availability and price are subject to change.
This is an Equal Housing opportunity.
Cities: Gallery Row, South Park, Downtown LA, Koreatown, Chinatown, Downtown Los Angeles, Arts District, DTLA, Fahion District, Los Angeles, Little Tokyo, K-Town
Nearby Places:  Downtown Independent,  Los Feliz Theater,  Rosa Mexicano,  24/7 Restaurant DTLA,  Regal Cinemas L.A. Live 14,  Wokcano,  Back Door Pub,  Library Bar,  Palace Theater,  Dublin's Irish Whiskey Pub,  Electric Dusk Drive-In,  The Greyhound Bar & GRill,  Bellman's Pub,  Levy Restaurants,  Bottega Louie,  El Cholo,  L.A. Live,  Casey's Irish Pub",34.039275,-118.26446000000001,South Park - DTLA,2018-10-10 19:10:44,2018-10-15 10:11:43,2350.0,False,740.0,1.0,1.0,both,in-unit,garage,losangeles,Los Angeles,Los Angeles,CA,Los Angeles
"$2650 / 1br - 818ft2 - 1 Bedroom in Koreatown/DTLA-BRAND NEW-Luxury Living (Koreatown/DTLA)
  
    
    hide this posting
  
  
    
    unhide","QR Code Link to This Post
            
        
﻿Price and availability may change. 
Square Footage Is Approximate. 
831 S Harvard Boulevard 
831 South Harvard Boulevard Los Angeles, CA 90005
Call ☏ :  show contact info

Located in the heart of vibrant Koreatown, 831 S Harvard offers an urban oasis that provides skyline views, sophisticated architecture and custom apartment interiors. 
Our modern styled apartments fall between classic and edgy, mirroring the multifaceted residents who call 831 S Harvard home. 
From sprawling flats to sky high penthouse lofts, our apartments provide the perfect place to relax and enjoy all the pleasures of life. 
Visit us today to find your new home at 831 S Harvard!
Community Amenities
- Recreation Room 
- Fitness Center 
- Garage Parking 
- Controlled Access 
- Short Term Leases 
- Bike Racks Apartment Amenities
- Hardwood Throughout 
- Disposal 
- Stainless Steel Appliances 
- Washer/Dryer in Unit 
- Patio/Balcony 
- Walk-in Closets 
- Microwave 
- Ceiling Fan 
- Central A/C 
- Dishwasher 
- Refrigerator 
- Loft Units Available 
- Gas Stove 
- Great Views 
- High Ceilings Pet Friendly
Pets Welcome with an Additional Deposit. 
Call for Details and Restrictions. Contact Information
Viewing or Leasing Information
Call ☎:  show contact info
 
Visit: http://www.831harvard.com/
Location Benefits( near 101 freeway )
Parks Barbeque, Here's Looking at You, Line Lofts, Pot, Commissary, Beer Belly, Kang Ho-Dong Baekjeong, Break Room 86, Aroma Golf Range, The Wiltern, Bootleg Theater, Vons, Ralphs, California Mkt, Han Koo, Hmart, CBD, Fremont, LACC, Azusa Pacific, Koreatown, Central LA, Oakwood, Mid City, Pico-Union, Wilshire Center
Thank You for Looking ... ‹(•¿•)›",34.0585,-118.3012,Koreatown/DTLA,2018-10-10 15:05:59,2018-10-15 10:02:50,2650.0,False,818.0,1.0,1.5,both,in-unit,garage,losangeles,Los Angeles,Los Angeles,CA,Los Angeles
