"LOCATION","Country","CAT","Category","ACT","Activity","UNIT","Unit","VAR","Variable","SRC","Source","TIME","Time","Value","Flag Codes","Flags"
"DNK","Denmark","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR511","Unnecessary edible food waste (e.)","SOURCE22","CONCITO","2011","2011",19.746,,
"NOR","Norway","FLFW","1. Food loss - Food waste","PRODUCERS","Producers","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE46","Halfdan K. Olafssøn","2011","2011",12,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","FOODINDUSTRY","Food Industry","KGBYCAPITA","kg/capita","FWVAR511","Unnecessary edible food waste (e.)","SOURCE22","CONCITO","2011","2011",21.541,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","FOODINDUSTRY","Food Industry","KGBYCAPITA","kg/capita","FWVAR262","Food Waste - Edible","SOURCE22","CONCITO","2011","2011",54.3887,,
"DEU","Germany","FLFW","1. Food loss - Food waste","FOODINDUSTRY","Food Industry","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE85","University Stuttgart - M. Kranert & al.","2011","2011",22.616136919,,
"SWE","Sweden","FLFW","1. Food loss - Food waste","FOODINDUSTRY","Food Industry","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE76","SMED","2010","2010",18.2339,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR56","Food Loss","SOURCE15","Buzby & al., 2012","2008","2008",64,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR64","Food Loss - Added fats and oils","SOURCE15","Buzby & al., 2012","2008","2008",8.1,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR67","Food Loss - Added sugar and sweetners","SOURCE15","Buzby & al., 2012","2008","2008",6.8,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR75","Food Loss - Dairy products","SOURCE15","Buzby & al., 2012","2008","2008",14,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR81","Food Loss - Eggs","SOURCE15","Buzby & al., 2012","2008","2008",1.3,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR88","Food Loss - Fish and seafood","SOURCE15","Buzby & al., 2012","2008","2008",0.6,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR96","Food Loss - Fruit","SOURCE15","Buzby & al., 2012","2008","2008",8.6,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR100","Food Loss - Grain products","SOURCE15","Buzby & al., 2012","2008","2008",10.7,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR104","Food Loss - Meat","SOURCE15","Buzby & al., 2012","2008","2008",2.2,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR106","Food Loss - Meat + poultry and fish","SOURCE15","Buzby & al., 2012","2008","2008",4.1,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR115","Food Loss - Poultry","SOURCE15","Buzby & al., 2012","2008","2008",1.3,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR128","Food Loss - Tree nuts and peanuts","SOURCE15","Buzby & al., 2012","2008","2008",0.3,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR132","Food Loss - Vegetables","SOURCE15","Buzby & al., 2012","2008","2008",10.3,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR56","Food Loss","SOURCE16","Buzby & al., 2014","2010","2010",63.049340055,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR64","Food Loss - Added fats and oils","SOURCE16","Buzby & al., 2014","2010","2010",8.1646627409,,
