"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"21001","Researchers (HC) - Total ","AUT","Austria","2011","2011",65609,,
"21001","Researchers (HC) - Total ","AUT","Austria","2013","2013",71448,,
"21001","Researchers (HC) - Total ","AUT","Austria","2015","2015",78051,,
"21001","Researchers (HC) - Total ","BEL","Belgium","2011","2011",63207,,
"21001","Researchers (HC) - Total ","BEL","Belgium","2013","2013",66724,,
"21001","Researchers (HC) - Total ","BEL","Belgium","2015","2015",73709,,
"21001","Researchers (HC) - Total ","CZE","Czechia","2011","2011",45901.53,,
"21001","Researchers (HC) - Total ","CZE","Czechia","2012","2012",47650.9,,
"21001","Researchers (HC) - Total ","CZE","Czechia","2013","2013",51454.62,,
"21001","Researchers (HC) - Total ","CZE","Czechia","2014","2014",54493.32,,
"21001","Researchers (HC) - Total ","CZE","Czechia","2015","2015",56604.54,,
"21001","Researchers (HC) - Total ","DNK","Denmark","2011","2011",56844.8,,
"21001","Researchers (HC) - Total ","DNK","Denmark","2012","2012",57520.1,,
"21001","Researchers (HC) - Total ","DNK","Denmark","2013","2013",57876,,
"21001","Researchers (HC) - Total ","DNK","Denmark","2014","2014",58735,,
"21001","Researchers (HC) - Total ","DNK","Denmark","2015","2015",59985,,
"21001","Researchers (HC) - Total ","FIN","Finland","2011","2011",57549,,
"21001","Researchers (HC) - Total ","FIN","Finland","2012","2012",56704,,
"21001","Researchers (HC) - Total ","FIN","Finland","2013","2013",56720,,
"21001","Researchers (HC) - Total ","FIN","Finland","2014","2014",55515,,
"21001","Researchers (HC) - Total ","FIN","Finland","2015","2015",55728,,
"21001","Researchers (HC) - Total ","FRA","France","2011","2011",338469.5,,
"21001","Researchers (HC) - Total ","FRA","France","2012","2012",356445.42,,
"21001","Researchers (HC) - Total ","FRA","France","2013","2013",365737.25,,
"21001","Researchers (HC) - Total ","FRA","France","2014","2014",379047.66,,
"21001","Researchers (HC) - Total ","FRA","France","2015","2015",383842.82,,
"21001","Researchers (HC) - Total ","DEU","Germany","2011","2011",522010.222,,
"21001","Researchers (HC) - Total ","DEU","Germany","2013","2013",549283.35,,
"21001","Researchers (HC) - Total ","DEU","Germany","2015","2015",586030,,
"21001","Researchers (HC) - Total ","GRC","Greece","2011","2011",45239,,
"21001","Researchers (HC) - Total ","GRC","Greece","2013","2013",53744,,
"21001","Researchers (HC) - Total ","GRC","Greece","2015","2015",60736,,
"21001","Researchers (HC) - Total ","HUN","Hungary","2011","2011",36945,,
"21001","Researchers (HC) - Total ","HUN","Hungary","2012","2012",37019,,
"21001","Researchers (HC) - Total ","HUN","Hungary","2013","2013",37803,,
"21001","Researchers (HC) - Total ","HUN","Hungary","2014","2014",39190,,
"21001","Researchers (HC) - Total ","HUN","Hungary","2015","2015",38418,,
"21001","Researchers (HC) - Total ","ISL","Iceland","2011","2011",3270.19,,
"21001","Researchers (HC) - Total ","ISL","Iceland","2013","2013",3356,,
"21001","Researchers (HC) - Total ","ISL","Iceland","2015","2015",3722,,
"21001","Researchers (HC) - Total ","ISL","Iceland","2016","2016",3935,,
"21001","Researchers (HC) - Total ","IRL","Ireland","2011","2011",22357.5,,
"21001","Researchers (HC) - Total ","IRL","Ireland","2013","2013",25393,,
"21001","Researchers (HC) - Total ","IRL","Ireland","2015","2015",33091,,
"21001","Researchers (HC) - Total ","ITA","Italy","2011","2011",151597,,
"21001","Researchers (HC) - Total ","ITA","Italy","2012","2012",157960,,
"21001","Researchers (HC) - Total ","ITA","Italy","2013","2013",163925,,
"21001","Researchers (HC) - Total ","ITA","Italy","2014","2014",168074,,
