"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"20001","Researchers (FTE) - Total ","AUT","Austria","2011","2011",37113.8,,
"20001","Researchers (FTE) - Total ","AUT","Austria","2012","2012",39700.7,,
"20001","Researchers (FTE) - Total ","AUT","Austria","2013","2013",40425.6,,
"20001","Researchers (FTE) - Total ","AUT","Austria","2014","2014",42627,,
"20001","Researchers (FTE) - Total ","AUT","Austria","2015","2015",43562,,
"20001","Researchers (FTE) - Total ","AUT","Austria","2016","2016",44933,,
"20001","Researchers (FTE) - Total ","BEL","Belgium","2011","2011",42685.773,,
"20001","Researchers (FTE) - Total ","BEL","Belgium","2012","2012",45597,,
"20001","Researchers (FTE) - Total ","BEL","Belgium","2013","2013",46355,,
"20001","Researchers (FTE) - Total ","BEL","Belgium","2014","2014",50820,,
"20001","Researchers (FTE) - Total ","BEL","Belgium","2015","2015",53178,,
"20001","Researchers (FTE) - Total ","BEL","Belgium","2016","2016",53771,,
"20001","Researchers (FTE) - Total ","CAN","Canada","2011","2011",165100,,
"20001","Researchers (FTE) - Total ","CAN","Canada","2012","2012",161600,,
"20001","Researchers (FTE) - Total ","CAN","Canada","2013","2013",163180,,
"20001","Researchers (FTE) - Total ","CAN","Canada","2014","2014",162090,,
"20001","Researchers (FTE) - Total ","CZE","Czechia","2011","2011",30681.589,,
"20001","Researchers (FTE) - Total ","CZE","Czechia","2012","2012",33217.168,,
"20001","Researchers (FTE) - Total ","CZE","Czechia","2013","2013",34271.104,,
"20001","Researchers (FTE) - Total ","CZE","Czechia","2014","2014",36039.7,,
"20001","Researchers (FTE) - Total ","CZE","Czechia","2015","2015",38080.999,,
"20001","Researchers (FTE) - Total ","CZE","Czechia","2016","2016",37338,,
"20001","Researchers (FTE) - Total ","DNK","Denmark","2011","2011",39181,,
"20001","Researchers (FTE) - Total ","DNK","Denmark","2012","2012",40080.3,,
"20001","Researchers (FTE) - Total ","DNK","Denmark","2013","2013",39868.1,,
"20001","Researchers (FTE) - Total ","DNK","Denmark","2014","2014",41409,,
"20001","Researchers (FTE) - Total ","DNK","Denmark","2015","2015",42425,,
"20001","Researchers (FTE) - Total ","DNK","Denmark","2016","2016",42923,,
"20001","Researchers (FTE) - Total ","FIN","Finland","2011","2011",40002.609,,
"20001","Researchers (FTE) - Total ","FIN","Finland","2012","2012",40468.4,,
"20001","Researchers (FTE) - Total ","FIN","Finland","2013","2013",39196.2,,
"20001","Researchers (FTE) - Total ","FIN","Finland","2014","2014",38280.6,,
"20001","Researchers (FTE) - Total ","FIN","Finland","2015","2015",37515.8,,
"20001","Researchers (FTE) - Total ","FIN","Finland","2016","2016",35908,,
"20001","Researchers (FTE) - Total ","FRA","France","2011","2011",249246.6,,
"20001","Researchers (FTE) - Total ","FRA","France","2012","2012",258913,,
"20001","Researchers (FTE) - Total ","FRA","France","2013","2013",265465.811,,
"20001","Researchers (FTE) - Total ","FRA","France","2014","2014",271772.272,,
"20001","Researchers (FTE) - Total ","FRA","France","2015","2015",277631.498,,
"20001","Researchers (FTE) - Total ","DEU","Germany","2011","2011",338688.743,,
"20001","Researchers (FTE) - Total ","DEU","Germany","2012","2012",352419,,
"20001","Researchers (FTE) - Total ","DEU","Germany","2013","2013",354463.394,,
"20001","Researchers (FTE) - Total ","DEU","Germany","2014","2014",351923,,
"20001","Researchers (FTE) - Total ","DEU","Germany","2015","2015",387982,,
"20001","Researchers (FTE) - Total ","DEU","Germany","2016","2016",400821,,
"20001","Researchers (FTE) - Total ","GRC","Greece","2011","2011",24674.25,,
"20001","Researchers (FTE) - Total ","GRC","Greece","2012","2012",24799.978,,
"20001","Researchers (FTE) - Total ","GRC","Greece","2013","2013",29228.24,,
"20001","Researchers (FTE) - Total ","GRC","Greece","2014","2014",29877.09,,
