"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2011","2011",61170.5,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2012","2012",65088.2,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2013","2013",66186.1,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2014","2014",69842,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2015","2015",71396,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2016","2016",73643,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2011","2011",62894.678,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2012","2012",67005,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2013","2013",67899,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2014","2014",72794,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2015","2015",77520,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2016","2016",79766,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2011","2011",239920,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2012","2012",231230,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2013","2013",232910,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2014","2014",237280,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2011","2011",55696.942,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2012","2012",60329.444,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2013","2013",61975.856,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2014","2014",64443.5,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2015","2015",66433.4,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2016","2016",65783,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2011","2011",57585,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2012","2012",57734.1,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2013","2013",57744,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2014","2014",58361,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2015","2015",59532,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2016","2016",60290,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2011","2011",54525.864,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2012","2012",54046.616,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2013","2013",52972.1,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2014","2014",52130.2,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2015","2015",50367.2,,
