"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"20002","Technicians (FTE) - Total ","AUT","Austria","2011","2011",18335.6,,
"20002","Technicians (FTE) - Total ","AUT","Austria","2013","2013",20309.7,,
"20002","Technicians (FTE) - Total ","AUT","Austria","2015","2015",22387,,
"20002","Technicians (FTE) - Total ","BEL","Belgium","2011","2011",15175.941,,
"20002","Technicians (FTE) - Total ","CAN","Canada","2011","2011",53710,,
"20002","Technicians (FTE) - Total ","CAN","Canada","2012","2012",47840,,
"20002","Technicians (FTE) - Total ","CAN","Canada","2013","2013",48650,,
"20002","Technicians (FTE) - Total ","CAN","Canada","2014","2014",48320,,
"20002","Technicians (FTE) - Total ","CZE","Czechia","2011","2011",17108.624,,
"20002","Technicians (FTE) - Total ","CZE","Czechia","2012","2012",18407.485,,
"20002","Technicians (FTE) - Total ","CZE","Czechia","2013","2013",18932.483,,
"20002","Technicians (FTE) - Total ","CZE","Czechia","2014","2014",19845.8,,
"20002","Technicians (FTE) - Total ","CZE","Czechia","2015","2015",19350.136,,
"20002","Technicians (FTE) - Total ","DNK","Denmark","2011","2011",11856,,
"20002","Technicians (FTE) - Total ","FRA","France","2011","2011",118630.7,,
"20002","Technicians (FTE) - Total ","FRA","France","2012","2012",119134,,
"20002","Technicians (FTE) - Total ","FRA","France","2013","2013",117317.253,,
"20002","Technicians (FTE) - Total ","FRA","France","2014","2014",116148.059,,
"20002","Technicians (FTE) - Total ","FRA","France","2015","2015",115909.709,,
"20002","Technicians (FTE) - Total ","DEU","Germany","2011","2011",139514.815,,
"20002","Technicians (FTE) - Total ","DEU","Germany","2012","2012",140345.9,,
"20002","Technicians (FTE) - Total ","DEU","Germany","2013","2013",138769.984,,
"20002","Technicians (FTE) - Total ","DEU","Germany","2014","2014",153387,,
"20002","Technicians (FTE) - Total ","DEU","Germany","2015","2015",156202,,
"20002","Technicians (FTE) - Total ","GRC","Greece","2011","2011",6336.07,,
"20002","Technicians (FTE) - Total ","HUN","Hungary","2011","2011",6506,,
"20002","Technicians (FTE) - Total ","HUN","Hungary","2012","2012",6993,,
"20002","Technicians (FTE) - Total ","HUN","Hungary","2013","2013",7748,,
"20002","Technicians (FTE) - Total ","HUN","Hungary","2014","2014",6833,,
"20002","Technicians (FTE) - Total ","HUN","Hungary","2015","2015",7112,,
"20002","Technicians (FTE) - Total ","ISL","Iceland","2011","2011",604.3,,
"20002","Technicians (FTE) - Total ","ISL","Iceland","2013","2013",536.41,,
"20002","Technicians (FTE) - Total ","ISL","Iceland","2015","2015",693.81,,
"20002","Technicians (FTE) - Total ","ISL","Iceland","2016","2016",697,,
"20002","Technicians (FTE) - Total ","IRL","Ireland","2011","2011",3645.5,,
"20002","Technicians (FTE) - Total ","IRL","Ireland","2012","2012",4029.927,,
"20002","Technicians (FTE) - Total ","IRL","Ireland","2013","2013",4489.7,,
"20002","Technicians (FTE) - Total ","IRL","Ireland","2014","2014",4783.4,,
"20002","Technicians (FTE) - Total ","IRL","Ireland","2015","2015",5405,,
"20002","Technicians (FTE) - Total ","JPN","Japan","2011","2011",71848,,
"20002","Technicians (FTE) - Total ","JPN","Japan","2012","2012",65828,,
"20002","Technicians (FTE) - Total ","JPN","Japan","2013","2013",65933,,
"20002","Technicians (FTE) - Total ","JPN","Japan","2014","2014",68822,,
"20002","Technicians (FTE) - Total ","JPN","Japan","2015","2015",66802,,
"20002","Technicians (FTE) - Total ","JPN","Japan","2016","2016",64208,,
"20002","Technicians (FTE) - Total ","KOR","Republic of Korea","2011","2011",51897.234,,
"20002","Technicians (FTE) - Total ","KOR","Republic of Korea","2012","2012",57714.524,,
"20002","Technicians (FTE) - Total ","KOR","Republic of Korea","2013","2013",58207.025,,
"20002","Technicians (FTE) - Total ","KOR","Republic of Korea","2014","2014",62155.09,,
"20002","Technicians (FTE) - Total ","KOR","Republic of Korea","2015","2015",61604.42,,
"20002","Technicians (FTE) - Total ","KOR","Republic of Korea","2016","2016",62597.544,,
"20002","Technicians (FTE) - Total ","LUX","Luxembourg","2011","2011",1708.175,,
"20002","Technicians (FTE) - Total ","LUX","Luxembourg","2012","2012",1568.3,,
"20002","Technicians (FTE) - Total ","LUX","Luxembourg","2013","2013",1595.843,,
"20002","Technicians (FTE) - Total ","LUX","Luxembourg","2014","2014",1715.7,,
"20002","Technicians (FTE) - Total ","LUX","Luxembourg","2015","2015",1862,,
"20002","Technicians (FTE) - Total ","MEX","Mexico","2011","2011",21391.814,,
"20002","Technicians (FTE) - Total ","MEX","Mexico","2012","2012",16738.632,,
"20002","Technicians (FTE) - Total ","MEX","Mexico","2013","2013",16345.125,,
"20002","Technicians (FTE) - Total ","NLD","Netherlands","2011","2011",34107.212,,
"20002","Technicians (FTE) - Total ","NZL","New Zealand","2011","2011",4500,,
"20002","Technicians (FTE) - Total ","NZL","New Zealand","2013","2013",4500,,
"20002","Technicians (FTE) - Total ","NZL","New Zealand","2015","2015",4700,,
"20002","Technicians (FTE) - Total ","POL","Poland","2011","2011",13774.5,,
"20002","Technicians (FTE) - Total ","POL","Poland","2012","2012",16076.9,,
"20002","Technicians (FTE) - Total ","POL","Poland","2013","2013",14678.1,,
"20002","Technicians (FTE) - Total ","POL","Poland","2014","2014",16703.4,,
"20002","Technicians (FTE) - Total ","POL","Poland","2015","2015",16872,,
"20002","Technicians (FTE) - Total ","PRT","Portugal","2011","2011",3592.3,,
"20002","Technicians (FTE) - Total ","PRT","Portugal","2012","2012",3560.1,,
"20002","Technicians (FTE) - Total ","PRT","Portugal","2013","2013",7773.759,,
"20002","Technicians (FTE) - Total ","PRT","Portugal","2014","2014",7388.629,,
"20002","Technicians (FTE) - Total ","PRT","Portugal","2015","2015",7805,,
"20002","Technicians (FTE) - Total ","SVK","Slovakia","2011","2011",1920.3,,
"20002","Technicians (FTE) - Total ","SVK","Slovakia","2012","2012",2078.8,,
"20002","Technicians (FTE) - Total ","SVK","Slovakia","2013","2013",1785.7,,
"20002","Technicians (FTE) - Total ","SVK","Slovakia","2014","2014",1989.9,,
"20002","Technicians (FTE) - Total ","SVK","Slovakia","2015","2015",2115.7,,
"20002","Technicians (FTE) - Total ","ESP","Spain","2011","2011",58554.5,,
"20002","Technicians (FTE) - Total ","ESP","Spain","2012","2012",58028.708,,
"20002","Technicians (FTE) - Total ","ESP","Spain","2013","2013",56821.734,,
"20002","Technicians (FTE) - Total ","ESP","Spain","2014","2014",54405.172,,
"20002","Technicians (FTE) - Total ","ESP","Spain","2015","2015",55523,,
"20002","Technicians (FTE) - Total ","SWE","Sweden","2011","2011",19194,,
"20002","Technicians (FTE) - Total ","CHE","Switzerland","2012","2012",21483.637,,
"20002","Technicians (FTE) - Total ","CHE","Switzerland","2015","2015",24352.659,,
"20002","Technicians (FTE) - Total ","TUR","Turkey","2011","2011",12650.658,,
"20002","Technicians (FTE) - Total ","TUR","Turkey","2012","2012",14185.338,,
"20002","Technicians (FTE) - Total ","TUR","Turkey","2013","2013",15031.094,,
"20002","Technicians (FTE) - Total ","TUR","Turkey","2014","2014",16083.763,,
