Office,Country,Continent
Almaty,Kazakhstan,Europe
Ankara,Turkey,Europe
Baku,Azerbaijan,Europe
Brussels,Germany,Europe
Geneva,Switzerland,Europe
Kyiv,Ukraine,Europe
Minsk,Belarus,Europe
Moscow,Russia,Europe
Prague,Czech Republic,Europe
Tashkent,Uzbekistan,Europe
Tbilisi,Georgia,Europe
Vienna,Austria,Europe
Warsaw,Poland,Europe
Yerevan,Armenia,Europe
Accra,Ghana,Africa
Antananarivo,Madagascar,Africa
Asmara,Eritrea,Africa
Brazzaville,Republic of Congo,Africa
Bujumbura,Burundi,Africa
Dakar,Senegal,Africa
Dar es salaam,Tanzania,Africa
Harare,Zimbabwe,Africa
Lagos,Nigeria,Africa
Lome,Togo,Africa
Lusaka,Zambia,Africa
Nairobi,Kenya,Africa
Ouagadougou,Burkina Faso,Africa
Pretoria,South Africa,Africa
Windhoek,Namibia,Africa
Yaounde,Cameroon,Africa
Algiers,Algeria,Arab
Beirut,Lebanon,Arab
Cairo,Egypt,Arab
Khartoum,Sudan,Arab
Manama,Bahrain,Arab
Rabat,Morocco,Arab
Sana'a,Yemen,Arab
Tunis,Tunisia,Arab
Asuncion,Paraguay,Americas
Bogota,Colombia,Americas
Buenos Aires,Argentina,Americas
La Paz,Bolivia,Americas
Lima,Peru,Americas
Mexico City,Mexico,Americas
Panama City,Panama,Americas
Port of Spain,Trinidad,Americas
Rio de Janeiro,Brazil,Americas
Washington DC,United States,Americas
Canberra,Australia,Asia and Pacific
Colombo,Sri Lanka,Asia and Pacific
Dhaka,Bangladesh,Asia and Pacific
Islamabad,Pakistan,Asia and Pacific
Jakarta,Indonesia,Asia and Pacific
Kathmandu,Nepal,Asia and Pacific
Manila,Philippines,Asia and Pacific
New Delhi,India,Asia and Pacific
Tehran,Iran,Asia and Pacific
Tokyo,Japan,Asia and Pacific
Yangon,Myanmar,Asia and Pacific
