Office,Country,Continent,latitude,longitude
Almaty,Kazakhstan,Europe,43.2363924,76.9457275
Ankara,Turkey,Europe,39.9207456,32.8540905
Baku,Azerbaijan,Europe,40.3754434,49.8326748
Brussels,Germany,Europe,50.8465573,4.351697
Geneva,Switzerland,Europe,46.2017559,6.1466014
Kyiv,Ukraine,Europe,50.4500644,30.5241037
Minsk,Belarus,Europe,53.902334,27.5618791
Moscow,Russia,Europe,55.7504461,37.6174943
Prague,Czech Republic,Europe,50.0874654,14.4212535
Tashkent,Uzbekistan,Europe,41.3123363,69.2787079
Tbilisi,Georgia,Europe,41.6934591,44.8014495
Vienna,Austria,Europe,48.2083537,16.3725042
Warsaw,Poland,Europe,52.2319237,21.0067265
Yerevan,Armenia,Europe,40.1776121,44.5125849
Accra,Ghana,Africa,5.5600141,-0.2057437
Antananarivo,Madagascar,Africa,-18.9100122,47.5255809
Asmara,Eritrea,Africa,15.3389667,38.9326763
Brazzaville,Republic of Congo,Africa,-4.2694407,15.2712256
Bujumbura,Burundi,Africa,-3.3638125,29.3675028
Dakar,Senegal,Africa,14.693425,-17.447938
Dar es salaam,Tanzania,Africa,-6.8160837,39.2803583
Harare,Zimbabwe,Africa,-17.831773,31.045686
Lagos,Nigeria,Africa,20.0171109,103.378253
Lome,Togo,Africa,6.130419,1.215829
Lusaka,Zambia,Africa,-15.4164488,28.2821535
Nairobi,Kenya,Africa,-1.2832533,36.8172449
Ouagadougou,Burkina Faso,Africa,12.368148,-1.527085
Pretoria,South Africa,Africa,-25.7459374,28.1879444
Windhoek,Namibia,Africa,-22.5744184,17.0791233
Yaounde,Cameroon,Africa,3.8689867,11.5213344
Algiers,Algeria,Arab,28.0000272,2.9999825
Beirut,Lebanon,Arab,33.8959203,35.47843
Cairo,Egypt,Arab,30.048819,31.243666
Khartoum,Sudan,Arab,15.593325,32.53565
Manama,Bahrain,Arab,26.2235041,50.5822436
Rabat,Morocco,Arab,34.022405,-6.834543
Sana'a,Yemen,Arab,15.342101,44.2005197
Tunis,Tunisia,Arab,33.8439408,9.400138
Asuncion,Paraguay,Americas,-25.2800459,-57.6343814
Bogota,Colombia,Americas,4.5980772,-74.0761028
Buenos Aires,Argentina,Americas,-34.6075616,-58.437076
La Paz,Bolivia,Americas,-16.4956371,-68.1336346
Lima,Peru,Americas,-12.0621065,-77.0365256
Mexico City,Mexico,Americas,19.4326009,-99.1333416
Panama City,Panama,Americas,30.1600827,-85.6545729
Port of Spain,Trinidad,Americas,10.6572678,-61.5180173
Rio de Janeiro,Brazil,Americas,-22.9110137,-43.2093727
Washington DC,United States,Americas,38.8950092,-77.0365625
Canberra,Australia,Asia and Pacific,-35.2975906,149.1012676
Colombo,Sri Lanka,Asia and Pacific,6.9218124,79.8655608840961
Dhaka,Bangladesh,Asia and Pacific,23.7593572,90.3788136
Islamabad,Pakistan,Asia and Pacific,33.63573935,72.9230467027632
Jakarta,Indonesia,Asia and Pacific,-6.1753942,106.827183
Kathmandu,Nepal,Asia and Pacific,27.708796,85.320244
Manila,Philippines,Asia and Pacific,14.5906216,120.9799696
New Delhi,India,Asia and Pacific,28.6141793,77.2022662
Tehran,Iran,Asia and Pacific,35.7006177,51.4013785
Tokyo,Japan,Asia and Pacific,35.6828387,139.7594549
Yangon,Myanmar,Asia and Pacific,16.7967129,96.1609916
